ITEM: TIMESTEP
4080000
ITEM: NUMBER OF ATOMS
9276
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type q x y z 
198 3 -0.728463 12.0203 3.22923 5.01982 
199 4 1.39702 27.81 23.1495 32.8773 
200 3 -0.807016 4.8224 30.2703 9.0644 
201 3 -0.876268 30.5861 5.09407 8.70037 
202 4 1.50584 18.7658 42.7574 28.1254 
203 3 -0.799473 13.5882 34.6264 3.98658 
204 3 -0.892514 0.630103 2.90404 13.9123 
205 4 1.41065 33.9078 12.9937 43.5925 
206 3 -0.722981 16.625 0.248549 11.5789 
207 3 -0.823099 0.961752 18.837 27.9942 
208 4 1.55761 47.6743 34.8571 31.2442 
209 3 -0.8375 41.4162 35.1758 31.8594 
210 3 -0.695365 48.8931 35.6755 23.4623 
211 4 1.70295 1.80432 18.0786 16.7573 
212 3 -0.842772 45.5392 34.049 1.29079 
213 3 -0.848333 11.4296 10.2539 38.203 
214 4 1.67871 45.8654 24.6049 24.7799 
215 3 -0.721906 19.3429 44.0136 34.2002 
216 3 -0.849454 41.023 18.7331 15.497 
217 4 1.39499 49.7609 24.8623 12.801 
218 3 -0.860792 16.3686 22.3735 5.42887 
219 3 -0.825477 18.9454 31.8545 37.3609 
220 4 1.31622 42.719 49.8408 0.0884586 
221 3 -0.795188 43.4898 17.2583 39.3008 
222 3 -0.851481 44.6785 41.0558 7.28375 
223 4 1.12452 16.171 16.4028 1.16182 
224 3 -0.747892 16.0961 29.284 35.2239 
225 3 -0.797255 3.65639 18.9307 26.1197 
226 4 1.56429 12.3518 0.117057 32.3911 
227 3 -0.885631 18.1465 4.84658 45.5681 
228 3 -0.696765 21.7994 45.4298 11.9595 
229 4 1.49808 31.4696 17.2867 14.8546 
230 3 -0.582888 44.7243 44.8583 40.0727 
231 3 -0.808656 41.0853 26.1564 5.45681 
232 4 1.63886 16.138 26.6053 45.1236 
233 3 -0.73403 37.961 10.3815 46.0788 
234 3 -0.73628 2.03532 43.3724 49.7674 
235 4 1.63692 3.29683 47.4131 17.7016 
236 3 -0.807027 30.3158 1.60298 14.3344 
237 3 -0.892553 22.5864 15.9488 38.8712 
238 4 1.75093 6.07835 30.7782 49.8429 
239 3 -0.799432 46.4075 29.6717 48.6719 
240 3 -0.873291 1.68592 13.2395 43.5161 
241 4 1.46794 37.6571 11.7091 46.9168 
242 3 -0.774061 18.4827 2.21168 3.46277 
243 3 -0.820625 27.832 49.24 8.47988 
244 4 1.6015 9.02902 46.7733 6.67736 
245 3 -0.719077 36.3424 49.1158 49.0299 
246 3 -0.749214 36.0163 5.66319 32.8253 
247 4 1.50987 29.4995 48.0192 21.7942 
248 3 -0.775687 17.5755 13.6495 7.52666 
249 3 -0.74933 29.6921 22.7354 46.1362 
250 4 1.23841 32.8379 5.49582 35.4531 
251 3 -0.702187 12.2322 17.0422 28.3133 
252 3 -0.812241 10.4951 35.6672 27.8835 
253 4 1.41541 15.4826 13.6219 44.7632 
254 3 -0.806107 25.7371 16.1969 19.9074 
255 3 -0.80801 29.2347 18.7342 11.8584 
256 4 1.66487 31.6879 4.47765 2.36625 
257 3 -0.827085 23.3145 46.703 18.3913 
258 3 -0.80289 26.2432 17.4451 39.7716 
259 4 1.398 41.0023 9.80494 49.8937 
260 3 -0.69881 24.4357 26.6009 2.36476 
261 3 -0.867666 16.9372 23.4455 13.8891 
262 4 1.74238 18.8123 9.61551 43.6596 
263 3 -0.935818 0.739916 17.3038 25.1555 
264 3 -0.753576 1.81469 36.3929 15.1435 
265 4 1.57232 11.0681 1.70359 48.0598 
266 3 -0.818888 23.7843 32.5082 22.9978 
267 3 -0.804572 21.7028 36.5303 8.81613 
268 4 1.39397 21.0267 42.0749 47.0598 
269 3 -0.753261 0.647726 35.0478 11.662 
270 3 -0.77797 14.2439 2.32779 45.7654 
271 4 1.48972 27.2432 2.11713 48.1392 
272 3 -0.820971 15.8539 4.25426 14.5283 
273 3 -0.664245 42.4505 45.6118 15.4915 
274 4 1.46923 16.9169 47.6809 46.6589 
275 3 -0.913626 8.72228 16.1061 10.1702 
276 3 -0.713062 36.5485 36.5397 31.032 
277 4 1.57099 16.5014 23.6436 15.3809 
278 3 -0.798539 12.5297 26.2773 9.60626 
279 3 -0.665762 41.9041 43.7862 27.8323 
280 4 1.54957 37.2512 44.1007 21.6336 
281 3 -0.811895 6.78121 9.09825 11.6887 
282 3 -0.832383 28.2669 26.0306 20.0156 
283 4 1.5023 27.3108 34.8195 24.1816 
284 3 -0.846699 7.84602 47.3254 5.84515 
285 3 -0.739705 16.8509 48.3513 9.38503 
286 4 1.39844 19.2583 1.9713 27.3916 
287 3 -0.704081 49.0836 15.4424 41.0154 
288 3 -0.780694 43.727 49.7394 31.4544 
289 4 1.56196 35.8591 41.172 13.8499 
290 3 -0.705541 30.6323 23.127 28.2756 
291 3 -0.858224 38.4325 23.3854 32.0115 
